"Comma-separated list of product attribute codes. Products with these attributes set to 'Yes' or '1' will be excluded from withdrawal (e.g., is_personalized,is_perishable,custom_made)","Comma-separated list of product attribute codes. Products with these attributes set to 'Yes' or '1' will be excluded from withdrawal (e.g., is_personalized,is_perishable,custom_made)"
"Withdrawable Items","Withdrawable Items"
"Non-Withdrawable Items","Non-Withdrawable Items"
"Already Withdrawn Items","Already Withdrawn Items"
"This product cannot be withdrawn","This product cannot be withdrawn"
"Some items cannot be withdrawn due to their properties","Some items cannot be withdrawn due to their properties"
"Withdraw More Items","Withdraw More Items"
"Withdrawal Type","Withdrawal Type"
"Full Withdrawal","Full Withdrawal"
"Partial Withdrawal","Partial Withdrawal"
"Withdrawn Items","Withdrawn Items"
"Partial withdrawal: %1 of %2 items withdrawn on %3","Partial withdrawal: %1 of %2 items withdrawn on %3"
"Full withdrawal submitted on %1","Full withdrawal submitted on %1"
"This is a partial withdrawal","This is a partial withdrawal"
"Withdrawn items:","Withdrawn items:"
"Non-withdrawable items:","Non-withdrawable items:"
"Withdrawal Type:","Withdrawal Type:"
"Items:","Items:"
"No items available for withdrawal.","No items available for withdrawal."
"Already withdrawn","Already withdrawn"
"Select all items","Select all items"
"Select","Select"
"of","of"
"selected","selected"
"Select the items you wish to withdraw from this order.","Select the items you wish to withdraw from this order."
"Please select at least one item to withdraw.","Please select at least one item to withdraw."
"You are about to withdraw ","You are about to withdraw "
" item(s) from this order."," item(s) from this order."
