"Withdrawal Settings","Setări retragere"
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Numărul de zile de la expedierea ultimei livrări parțiale în care retragerea este permisă. Implicit: 14 zile."
"This order has not been shipped yet. You may withdraw at any time until you receive the goods.","Această comandă nu a fost expediată încă. Puteți retrage oricând până la primirea produselor."
"Email template sent to the customer after withdrawal request.","Șablon e-mail trimis clientului după cererea de retragere."
"Email template sent to the shop owner after withdrawal request.","Șablon e-mail trimis proprietarului magazinului după cererea de retragere."
"Withdrawal Confirmation for Order #%order_increment_id","Confirmare retragere pentru comanda #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Nouă cerere de retragere pentru comanda #%order_increment_id"
"Dear %customer_name,","Stimate/Stimată %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Am primit cererea dumneavoastră de retragere pentru comanda #%order_increment_id."
"Your withdrawal request has been registered successfully.","Cererea dumneavoastră de retragere a fost înregistrată cu succes."
"Order Number:","Număr comandă:"
"Order Date:","Data comenzii:"
"Withdrawal Requested:","Retragere solicitată:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Magazinul va procesa cererea dumneavoastră de retragere și vă va contacta cu privire la pașii următori (ex. returnare, rambursare)."
"If you have any questions, please contact us.","Dacă aveți întrebări, vă rugăm să ne contactați."
"A new withdrawal request has been submitted.","O nouă cerere de retragere a fost trimisă."
"Customer Name:","Numele clientului:"
"Customer Email:","E-mail client:"
"Please review this withdrawal request and take the necessary steps.","Vă rugăm să analizați această cerere de retragere și să luați măsurile necesare."
"Allowed Order Statuses","Statusuri de comandă permise"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Retragerea este posibilă doar pentru comenzi cu unul din aceste statusuri. Implicit: în așteptare, în procesare, finalizat."
"Withdrawal is only possible for orders with one of these statuses.","Retragerea este posibilă doar pentru comenzi cu unul din aceste statusuri."
